im:name/label,rights/label,im:price/label,im:price/attributes/amount,im:price/attributes/currency,im:image/0/label,im:image/0/attributes/height,im:image/1/label,im:image/1/attributes/height,im:image/2/label,im:image/2/attributes/height,im:artist/label,im:artist/attributes/href,title/label,link/0/attributes/rel,link/0/attributes/type,link/0/attributes/href,id/label,id/attributes/im:id,id/attributes/im:bundleId,im:contentType/attributes/term,im:contentType/attributes/label,category/attributes/im:id,category/attributes/term,category/attributes/scheme,category/attributes/label,im:releaseDate/label,im:releaseDate/attributes/label,author/uri/label,author/name/label,author/label,im:version/label,im:rating/label,content/label,content/attributes/type,im:voteSum/label,im:voteCount/label
,,,,,,,,,,,,,麻烦 看着烦,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488294723,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id398126953?l=en,小白疯了,,6.3.31,1,好多年了 能不能换哈UI啊 看着烦了 加点好玩的功能昂？,text,0,0
,,,,,,,,,,,,,可以增加不同的通知提示音吗,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488293783,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id343940168?l=en,Zoro_Guo,,6.3.31,4,强烈建议增加提示音选项,text,0,0
,,,,,,,,,,,,,更新之后新表情没有了,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488292634,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id510493558?l=en,sjdjvunxtjdg,,6.3.31,1,一星,text,0,0
,,,,,,,,,,,,,7plus没有微信新表情,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488291050,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id254130517?l=en,mm豆儿,,6.3.31,3,微信版本最新，系统版本最新，iphone 7 plus 就是没有微信新增的几个表情，捂脸哭，双手耶等表情。去微博搜索，发现其他人也有这种情况。希望程序猿尽快解决~,text,0,0
,,,,,,,,,,,,,微信你只知道收钱你的服务呢？,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488290223,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id521424554?l=en,留下来123456,,6.3.31,5,本人于9月份开始通过微信支付的方式购买了三个月腾讯视频的vip结果vip没做成成了受气的人！三个月想看个视频那是要用手机扫一扫二维码扫到天荒地老也不可以看！投诉多次！无解！微信全是坑！大家要小心哦！,text,0,0
,,,,,,,,,,,,,强烈要求更换微笑这个表情,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488289697,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id410550376?l=en,80秒的安眠药,,6.3.31,4,强烈要求更换微信和qq的危险表情，强烈要求，太难看了,text,0,0
,,,,,,,,,,,,,3D 的优化,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488287927,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id533643602?l=en,十年亚运会生生世世,,6.3.31,4,在使用过程中，动画过度非常不稳定或者有时候生硬，希望团队可以对比一下在相册查看照片或者微博的动画效果,text,0,0
,,,,,,,,,,,,,冻结问题，最大弊端,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488286305,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id366066638?l=en,我就服了976452,,6.3.31,5,"5🌟只是为了让你们看到
你的微信可以被任何人在知道你手机号或是微信号的情况下直接冻结，且你自己无法解冻，只能通过原冻结设备来解冻。微信官方也不会核实，而是直接冻结。找微信客服都不管用，因为微信没有人工客服，只有语音客服，按照语音提示问题得不到解决。最后就是换一个微信号的结果，这样你会损失很多重要的东西。微信，辜负了我们对你的信任。谁如果不信的话可以找个微信号试一试，结果你会明白的。我建议微信可以开通一项核实微信绑定手机短信加实名验证的方式来让我们自己的微信更加安全",text,0,0
,,,,,,,,,,,,,爱疯7P更新之后没有新表情,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488280041,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id445590341?l=en,一星评价不允许发布！真是恶劣的平台！,,6.3.31,1,爱疯7P更新之后没有新表情,text,0,0
,,,,,,,,,,,,,希望还可以添加透明表情包,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488274991,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id491486524?l=en,大邱维纳斯_a,,6.3.31,5,为什么现在不能添加透明表情了呢！！！！希望可以添加！！！,text,0,0
